Decade	deldel	Year	Month	mothy	NbDays
01/01/1990	0	1990	1	30	10
11/01/1990	0	1990	1	47	10
21/01/1990	4	1990	1	29	11
01/02/1990	40	1990	2	47	10
11/02/1990	1	1990	2	44	10
21/02/1990	0	1990	2	27	8
01/03/1990	0	1990	3	18	10
11/03/1990	1	1990	3	14	10
21/03/1990	0	1990	3	14	11
01/04/1990	0	1990	4	19	10
11/04/1990	0	1990	4	24	10
21/04/1990	0	1990	4	6	10
01/05/1990	0	1990	5	4	10
11/05/1990	0	1990	5	6	10
21/05/1990	0	1990	5	12	11
01/06/1990	0	1990	6	20	10
11/06/1990	0	1990	6	17	10
21/06/1990	0	1990	6	24	10
01/07/1990	0	1990	7	17	10
11/07/1990	0	1990	7	3	10
21/07/1990	2	1990	7	3	11
01/08/1990	1	1990	8	14	10
11/08/1990	2	1990	8	14	10
21/08/1990	0	1990	8	12	11
01/09/1990	2	1990	9	9	10
11/09/1990	0	1990	9	10	10
21/09/1990	0	1990	9	17	10
01/10/1990	0	1990	10	16	10
11/10/1990	0	1990	10	32	10
21/10/1990	0	1990	10	32	11
01/11/1990	0	1990	11	23	10
11/11/1990	0	1990	11	28	10
21/11/1990	3	1990	11	13	10
01/12/1990	1	1990	12	11	10
11/12/1990	0	1990	12	29	10
21/12/1990	4	1990	12	38	11
01/01/1991	4	1991	1	34	10
11/01/1991	4	1991	1	6	10
21/01/1991	0	1991	1	4	11
01/02/1991	30	1991	2	4	10
11/02/1991	139	1991	2	16	10
21/02/1991	0	1991	2	24	8
01/03/1991	0	1991	3	20	10
11/03/1991	7	1991	3	15	10
21/03/1991	4	1991	3	15	11
01/04/1991	1	1991	4	23	10
11/04/1991	1	1991	4	11	10
21/04/1991	1	1991	4	16	10
01/05/1991	0	1991	5	14	10
11/05/1991	0	1991	5	12	10
21/05/1991	0	1991	5	7	11
01/06/1991	1	1991	6	29	10
11/06/1991	0	1991	6	29	10
21/06/1991	1	1991	6	23	10
01/07/1991	0	1991	7	21	10
11/07/1991	0	1991	7	16	10
21/07/1991	0	1991	7	15	11
01/08/1991	3	1991	8	13	10
11/08/1991	2	1991	8	8	10
21/08/1991	0	1991	8	9	11
01/09/1991	0	1991	9	4	10
11/09/1991	0	1991	9	21	10
21/09/1991	0	1991	9	21	10
01/10/1991	1	1991	10	16	10
11/10/1991	0	1991	10	20	10
21/10/1991	1	1991	10	29	11
01/11/1991	2	1991	11	35	10
11/11/1991	0	1991	11	23	10
21/11/1991	2	1991	11	10	10
01/12/1991	0	1991	12	9	10
11/12/1991	5	1991	12	24	10
21/12/1991	0	1991	12	16	11
01/01/1992	2	1992	1	15	10
11/01/1992	1	1992	1	2	10
21/01/1992	0	1992	1	5	11
01/02/1992	6	1992	2	20	10
11/02/1992	13	1992	2	16	10
21/02/1992	12	1992	2	19	9
01/03/1992	11	1992	3	23	10
11/03/1992	13	1992	3	30	10
21/03/1992	4	1992	3	28	11
01/04/1992	0	1992	4	17	10
11/04/1992	0	1992	4	27	10
21/04/1992	0	1992	4	29	10
01/05/1992	0	1992	5	12	10
11/05/1992	0	1992	5	9	10
21/05/1992	0	1992	5	11	11
01/06/1992	0	1992	6	15	10
11/06/1992	1	1992	6	11	10
21/06/1992	0	1992	6	16	10
01/07/1992	0	1992	7	17	10
11/07/1992	0	1992	7	14	10
21/07/1992	0	1992	7	15	11
01/08/1992	0	1992	8	21	10
11/08/1992	0	1992	8	30	10
21/08/1992	1	1992	8	28	11
01/09/1992	1	1992	9	24	10
11/09/1992	1	1992	9	20	10
21/09/1992	0	1992	9	17	10
01/10/1992	0	1992	10	18	10
11/10/1992	0	1992	10	25	10
21/10/1992	0	1992	10	33	11
01/11/1992	0	1992	11	42	10
11/11/1992	0	1992	11	46	10
21/11/1992	1	1992	11	35	10
01/12/1992	0	1992	12	24	10
11/12/1992	0	1992	12	10	10
21/12/1992	0	1992	12	14	11
01/01/1993	3	1993	1	38	10
11/01/1993	10	1993	1	31	10
21/01/1993	0	1993	1	14	11
01/02/1993	2	1993	2	3	10
11/02/1993	4	1993	2	9	10
21/02/1993	0	1993	2	8	8
01/03/1993	1	1993	3	6	10
11/03/1993	5	1993	3	12	10
21/03/1993	0	1993	3	25	11
01/04/1993	2	1993	4	23	10
11/04/1993	1	1993	4	14	10
21/04/1993	0	1993	4	8	10
01/05/1993	0	1993	5	9	10
11/05/1993	0	1993	5	20	10
21/05/1993	0	1993	5	18	11
01/06/1993	0	1993	6	17	10
11/06/1993	0	1993	6	17	10
21/06/1993	0	1993	6	15	10
01/07/1993	0	1993	7	16	10
11/07/1993	0	1993	7	24	10
21/07/1993	0	1993	7	21	11
01/08/1993	0	1993	8	12	10
11/08/1993	0	1993	8	7	10
21/08/1993	0	1993	8	13	11
01/09/1993	0	1993	9	20	10
11/09/1993	0	1993	9	28	10
21/09/1993	0	1993	9	30	10
01/10/1993	0	1993	10	26	10
11/10/1993	1	1993	10	10	10
21/10/1993	0	1993	10	5	11
01/11/1993	0	1993	11	6	10
11/11/1993	0	1993	11	14	10
21/11/1993	0	1993	11	29	10
01/12/1993	0	1993	12	48	10
11/12/1993	0	1993	12	50	10
21/12/1993	2	1993	12	48	11
01/01/1994	0	1994	1	38	10
11/01/1994	0	1994	1	35	10
21/01/1994	1	1994	1	27	11
01/02/1994	1	1994	2	36	10
11/02/1994	0	1994	2	26	10
21/02/1994	6	1994	2	43	8
01/03/1994	1	1994	3	26	10
11/03/1994	0	1994	3	33	10
21/03/1994	1	1994	3	42	11
01/04/1994	3	1994	4	37	10
11/04/1994	0	1994	4	12	10
21/04/1994	6	1994	4	18	10
01/05/1994	2	1994	5	16	10
11/05/1994	2	1994	5	12	10
21/05/1994	0	1994	5	16	11
01/06/1994	0	1994	6	14	10
11/06/1994	0	1994	6	10	10
21/06/1994	0	1994	6	11	10
01/07/1994	0	1994	7	13	10
